assignment__id	date	time	action	originator	role	responsible__name	responsible__role	old__value	new__value	comment
10	2026-02-26	04:44:56	10	admin	4	dhanu02	2			
10	2026-03-10	15:51:42	7	siva	5	ayoo100	1			
10	2026-03-10	15:53:29	7	siva	5	ayoo51	1			
11	2026-02-26	04:44:57	1	admin	4	dhanu02	2			
11	2026-02-26	04:44:57	8	admin	4	dhanu02	2		1	
11	2026-02-26	04:44:57	9	admin	4	dhanu02	2		0	
11	2026-02-26	04:44:57	6	admin	4	dhanu02	2		0	
11	2026-02-26	04:44:57	10	admin	4	dhanu02	2			
11	2026-03-10	15:51:43	7	siva	5	ayoo100	1			
11	2026-03-10	15:53:24	7	siva	5	ayoo51	1			
12	2026-02-26	04:44:57	1	admin	4	dhanu02	2			
12	2026-02-26	04:44:57	8	admin	4	dhanu02	2		1	
12	2026-02-26	04:44:57	9	admin	4	dhanu02	2		0	
12	2026-02-26	04:44:57	6	admin	4	dhanu02	2		0	
12	2026-02-26	04:44:57	10	admin	4	dhanu02	2			
12	2026-03-10	17:11:20	7	siva	5	ayoo55	1			
12	2026-03-10	17:11:25	7	siva	5	ayoo55	1			
13	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
13	2026-02-26	04:44:57	8	admin	4	dhanu01	2		1	
13	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
13	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
13	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
13	2026-03-10	05:24:43	7	siva	5	ayoo01	1			
13	2026-03-11	04:39:53	7	siva	5	ayoo08	1			
13	2026-03-11	09:43:48	7	siva	5	dhanu01	2			
13	2026-03-21	10:05:55	7	dhanu01	2	ayoo02	1			
13	2026-03-21	10:06:55	4	ayoo02	1	ayoo02	1			
14	2026-02-26	04:44:57	1	admin	4	dhanu02	2			
14	2026-02-26	04:44:57	8	admin	4	dhanu02	2		1	
14	2026-02-26	04:44:57	9	admin	4	dhanu02	2		0	
14	2026-02-26	04:44:57	6	admin	4	dhanu02	2		0	
14	2026-02-26	04:44:57	10	admin	4	dhanu02	2			
15	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
15	2026-02-26	04:44:57	8	admin	4	dhanu01	2		-1	
15	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
15	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
15	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
15	2026-03-10	05:24:41	7	siva	5	ayoo01	1			
15	2026-03-11	04:39:50	7	siva	5	ayoo08	1			
15	2026-03-11	09:43:46	7	siva	5	dhanu01	2			
15	2026-03-21	10:06:34	7	dhanu01	2	ayoo02	1			
15	2026-03-21	10:07:01	4	ayoo02	1	ayoo02	1			
16	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
16	2026-02-26	04:44:57	8	admin	4	dhanu01	2		1	
16	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
16	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
16	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
16	2026-03-10	05:24:39	7	siva	5	ayoo01	1			
16	2026-03-10	10:18:24	7	siva	5	ayoo01	1			
16	2026-03-11	04:40:04	7	siva	5	ayoo08	1			
16	2026-03-11	09:44:11	7	siva	5	dhanu01	2			
17	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
17	2026-02-26	04:44:57	8	admin	4	dhanu01	2		1	
17	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
17	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
17	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
17	2026-03-10	05:24:34	7	siva	5	ayoo01	1			
17	2026-03-10	10:18:28	7	siva	5	ayoo01	1			
17	2026-03-10	10:21:47	7	siva	5	ayoo03	1			
17	2026-03-11	11:12:05	7	siva	5	dhanu01	2			
18	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
18	2026-02-26	04:44:57	8	admin	4	dhanu01	2		-1	
18	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
18	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
18	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
18	2026-03-10	05:24:36	7	siva	5	ayoo01	1			
18	2026-03-11	04:39:48	7	siva	5	ayoo08	1			
18	2026-03-11	09:44:04	7	siva	5	dhanu01	2			
19	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
19	2026-02-26	04:44:57	8	admin	4	dhanu01	2		1	
19	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
19	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
19	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
19	2026-03-10	05:24:32	7	siva	5	ayoo01	1			
19	2026-03-11	04:39:45	7	siva	5	ayoo08	1			
19	2026-03-11	09:44:02	7	siva	5	dhanu01	2			
20	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
20	2026-02-26	04:44:57	8	admin	4	dhanu01	2		1	
20	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
20	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
20	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
20	2026-03-10	05:24:27	7	siva	5	ayoo01	1			
20	2026-03-11	04:39:40	7	siva	5	ayoo08	1			
20	2026-03-11	09:43:58	7	siva	5	dhanu01	2			
21	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
21	2026-02-26	04:44:57	8	admin	4	dhanu01	2		-1	
21	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
21	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
21	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
21	2026-03-10	05:24:29	7	siva	5	ayoo01	1			
21	2026-03-11	04:39:43	7	siva	5	ayoo08	1			
21	2026-03-11	09:43:43	7	siva	5	dhanu01	2			
22	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
22	2026-02-26	04:44:57	8	admin	4	dhanu01	2		1	
22	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
22	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
22	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
22	2026-03-10	05:24:25	7	siva	5	ayoo01	1			
22	2026-03-11	04:39:38	7	siva	5	ayoo08	1			
22	2026-03-11	09:43:55	7	siva	5	dhanu01	2			
23	2026-02-26	04:44:57	1	admin	4	dhanu02	2			
23	2026-02-26	04:44:57	8	admin	4	dhanu02	2		-1	
23	2026-02-26	04:44:57	9	admin	4	dhanu02	2		0	
23	2026-02-26	04:44:57	6	admin	4	dhanu02	2		0	
23	2026-02-26	04:44:57	10	admin	4	dhanu02	2			
23	2026-03-10	13:21:09	7	siva	5	ayoo51	1			
23	2026-03-10	13:24:34	7	siva	5	ayoo51	1			
23	2026-03-10	14:33:57	7	siva	5	ayoo51	1			
23	2026-03-10	14:55:37	7	siva	5	ayoo52	1			
23	2026-03-11	05:26:04	7	siva	5	ayoo100	1			
24	2026-02-26	04:44:57	1	admin	4	dhanu02	2			
24	2026-02-26	04:44:57	8	admin	4	dhanu02	2		1	
24	2026-02-26	04:44:57	9	admin	4	dhanu02	2		0	
24	2026-02-26	04:44:57	6	admin	4	dhanu02	2		0	
24	2026-02-26	04:44:57	10	admin	4	dhanu02	2			
24	2026-03-10	14:42:58	7	siva	5	ayoo100	1			
24	2026-03-10	15:33:08	7	siva	5	ayoo100	1			
24	2026-03-10	15:53:38	7	siva	5	ayoo51	1			
25	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
25	2026-02-26	04:44:57	8	admin	4	dhanu01	2		-1	
25	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
25	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
25	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
25	2026-03-10	05:24:20	7	siva	5	ayoo01	1			
25	2026-03-11	04:39:33	7	siva	5	ayoo08	1			
25	2026-03-11	09:43:40	7	siva	5	dhanu01	2			
26	2026-02-26	04:44:57	1	admin	4	dhanu02	2			
26	2026-02-26	04:44:57	8	admin	4	dhanu02	2		1	
26	2026-02-26	04:44:57	9	admin	4	dhanu02	2		0	
26	2026-02-26	04:44:57	6	admin	4	dhanu02	2		0	
26	2026-02-26	04:44:57	10	admin	4	dhanu02	2			
26	2026-03-10	14:42:56	7	siva	5	ayoo100	1			
26	2026-03-10	15:33:07	7	siva	5	ayoo100	1			
26	2026-03-10	15:53:37	7	siva	5	ayoo51	1			
27	2026-02-26	04:44:57	1	admin	4	dhanu02	2			
27	2026-02-26	04:44:57	8	admin	4	dhanu02	2		-1	
27	2026-02-26	04:44:57	9	admin	4	dhanu02	2		0	
27	2026-02-26	04:44:57	6	admin	4	dhanu02	2		0	
27	2026-02-26	04:44:57	10	admin	4	dhanu02	2			
27	2026-03-10	13:21:04	7	siva	5	ayoo51	1			
27	2026-03-10	13:24:29	7	siva	5	ayoo51	1			
27	2026-03-10	14:33:53	7	siva	5	ayoo51	1			
27	2026-03-10	14:55:33	7	siva	5	ayoo52	1			
27	2026-03-11	05:25:57	7	siva	5	ayoo100	1			
28	2026-02-26	04:44:57	1	admin	4	dhanu02	2			
28	2026-02-26	04:44:57	8	admin	4	dhanu02	2		1	
28	2026-02-26	04:44:57	9	admin	4	dhanu02	2		0	
28	2026-02-26	04:44:57	6	admin	4	dhanu02	2		0	
28	2026-02-26	04:44:57	10	admin	4	dhanu02	2			
29	2026-02-26	04:44:57	1	admin	4	dhanu02	2			
29	2026-02-26	04:44:57	8	admin	4	dhanu02	2		-1	
29	2026-02-26	04:44:57	9	admin	4	dhanu02	2		0	
29	2026-02-26	04:44:57	6	admin	4	dhanu02	2		0	
